Entry Date,Exit Date,Entry Price,Exit Price,Return,Duration
2012-12-19,2012-12-24,311.84698486328125,300.31500244140625,-0.03697961815128919,5
2013-01-03,2014-10-16,324.593994140625,787.7490234375,1.4268749196148733,651
2014-10-20,2015-08-21,854.27099609375,1035.876953125,0.21258588651805296,305
2015-10-20,2015-10-21,1184.873046875,1165.06103515625,-0.016720788586593698,1
2015-10-23,2015-12-21,1335.5250244140625,1267.8270263671875,-0.050690175630798286,59
2015-12-22,2016-01-05,1291.6800537109375,1201.3330078125,-0.0699453751251129,14
2016-04-04,2016-04-06,1177.7840576171875,1201.717041015625,0.020320349255581776,2
2016-04-07,2016-04-08,1147.31103515625,1146.9449462890625,-0.00031908423781319516,1
2016-04-14,2016-04-25,1207.85498046875,1142.968994140625,-0.0537200138901971,11
2016-05-26,2016-06-14,1150.2760009765625,1100.8809814453125,-0.042941884807919634,19
2016-06-24,2016-06-27,992.7680053710938,933.7020263671875,-0.05949625560488078,3
2016-07-11,2018-04-03,1185.3360595703125,2104.090087890625,0.775100040956624,631
2018-04-04,2018-10-11,2005.572021484375,2751.81396484375,0.37208434070947116,190
2018-10-17,2018-10-19,3030.806884765625,2940.93310546875,-0.029653416635888705,2
2019-03-19,2019-03-26,2813.697998046875,2823.4169921875,0.0034541710401654433,7
2019-03-27,2019-03-28,2729.758056640625,2757.596923828125,0.010198291060915445,1
2019-03-29,2019-05-14,2860.761962890625,2824.2041015625,-0.012779064389959072,46
2019-05-15,2019-05-24,2935.862060546875,2833.407958984375,-0.034897450714498304,9
2019-06-10,2020-03-10,2962.867919921875,3415.1298828125,0.1526433088190277,274
2020-05-11,2020-05-13,4015.23095703125,3899.636962890625,-0.02878887799422925,2
2020-05-18,2022-01-19,4065.639892578125,13941.0,2.428980521725366,611
2023-02-03,2023-02-06,6188.0,6194.0,0.0009696186166774402,3
2023-02-08,2023-02-09,6486.0,6220.0,-0.04101140918902251,1
2023-02-15,2023-02-17,6147.0,5976.0,-0.027818448023426062,2
2023-03-17,2023-10-27,6111.0,7902.0,0.2930780559646539,224
2023-11-01,2024-08-06,8082.0,13252.0,0.639693145261074,279
2024-08-09,2024-09-09,13754.0,13366.0,-0.02820997527991857,31
2024-09-11,2025-02-28,13890.0,17131.0,0.23333333333333334,170
2025-03-03,2025-03-04,17950.0,16629.0,-0.0735933147632312,1
2025-05-19,2025-05-22,15275.0,15251.0,-0.0015711947626841243,3
2025-06-03,2025-06-26,15620.0,17263.0,0.10518565941101152,23
