date,trade_number,from_signal,to_signal,reason
2023-01-04,1,BUY_SQQQ,BUY_UVXY_BTAL_PORTFOLIO,"XLF overbought, UVXY 75% + BTAL 25% allocation"
2023-01-05,2,BUY_UVXY_BTAL_PORTFOLIO,BUY_SQQQ,"TQQQ weak, bonds weak, short position (Bear 1)"
2023-01-11,3,BUY_SQQQ,BUY_UVXY_BTAL_PORTFOLIO,"XLF overbought, UVXY 75% + BTAL 25% allocation"
2023-01-12,4,BUY_UVXY_BTAL_PORTFOLIO,BUY_UVXY,IOO extremely overbought (RSI > 81)
2023-01-18,5,BUY_UVXY,BUY_UVXY_BTAL_PORTFOLIO,"VOX overbought, UVXY 75% + BTAL 25% allocation"
2023-01-19,6,BUY_UVXY_BTAL_PORTFOLIO,BUY_TQQQ,"TQQQ trending up, bonds strong (Bear 1)"
2023-01-20,7,BUY_TQQQ,BUY_UVXY_BTAL_PORTFOLIO,"IOO overbought, UVXY 75% + BTAL 25% allocation"
2023-01-25,8,BUY_UVXY_BTAL_PORTFOLIO,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (30.9%), BWXT (52.4%), LEU (16.7%)"
2023-02-01,9,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY_BTAL_PORTFOLIO,"VOX overbought, UVXY 75% + BTAL 25% allocation"
2023-02-02,10,BUY_UVXY_BTAL_PORTFOLIO,BUY_UVXY,SPY extremely overbought (RSI > 81)
2023-02-06,11,BUY_UVXY,BUY_UVXY_BTAL_PORTFOLIO,"XLF overbought, UVXY 75% + BTAL 25% allocation"
2023-02-07,12,BUY_UVXY_BTAL_PORTFOLIO,BUY_UVXY,XLF extremely overbought
2023-02-08,13,BUY_UVXY,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (32.7%), BWXT (50.9%), LEU (16.4%)"
2023-02-22,14,BUY_NUCLEAR_PORTFOLIO,BUY_TQQQ,"TQQQ oversold, buying dip"
2023-02-23,15,BUY_TQQQ,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (33.3%), BWXT (51.7%), LEU (15.0%)"
2023-02-28,16,BUY_NUCLEAR_PORTFOLIO,BUY_UPRO,"SPY oversold, buying dip with leverage"
2023-03-01,17,BUY_UPRO,BUY_TQQQ,"TQQQ oversold, buying dip"
2023-03-03,18,BUY_TQQQ,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (34.5%), BWXT (51.0%), LEU (14.5%)"
2023-03-10,19,BUY_NUCLEAR_PORTFOLIO,BUY_SQQQ,"TQQQ weak, IEF strong, short position (Bear 1)"
2023-03-14,20,BUY_SQQQ,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (34.7%), BWXT (50.8%), LEU (14.6%)"
2023-03-15,21,BUY_NUCLEAR_PORTFOLIO,BUY_SQQQ,"TQQQ up but bonds weak, short position (Bear 1)"
2023-03-16,22,BUY_SQQQ,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (34.0%), BWXT (51.1%), LEU (14.8%)"
2023-03-24,23,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY,TQQQ extremely overbought
2023-03-27,24,BUY_UVXY,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (29.8%), BWXT (50.8%), LEU (19.4%)"
2023-03-31,25,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY,IOO extremely overbought
2023-04-04,26,BUY_UVXY,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (29.5%), BWXT (51.1%), LEU (19.4%)"
2023-04-05,27,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY,SPY extremely overbought (RSI > 81)
2023-04-14,28,BUY_UVXY,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (29.1%), BWXT (51.9%), LEU (19.0%)"
2023-04-18,29,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY_BTAL_PORTFOLIO,"XLF overbought, UVXY 75% + BTAL 25% allocation"
2023-04-19,30,BUY_UVXY_BTAL_PORTFOLIO,BUY_UVXY,VTV extremely overbought
2023-04-24,31,BUY_UVXY,BUY_UVXY_BTAL_PORTFOLIO,"XLF overbought, UVXY 75% + BTAL 25% allocation"
2023-04-25,32,BUY_UVXY_BTAL_PORTFOLIO,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: SMR (28.9%), BWXT (52.5%), LEU (18.6%)"
2023-05-17,33,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY_BTAL_PORTFOLIO,"TQQQ overbought, UVXY 75% + BTAL 25% allocation"
2023-05-18,34,BUY_UVXY_BTAL_PORTFOLIO,BUY_UVXY,IOO extremely overbought
2023-05-23,35,BUY_UVXY,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: BWXT (12.7%), OKLO (72.7%), NLR (14.5%)"
2023-05-26,36,BUY_NUCLEAR_PORTFOLIO,BUY_UVXY_BTAL_PORTFOLIO,"TQQQ overbought, UVXY 75% + BTAL 25% allocation"
2023-05-31,37,BUY_UVXY_BTAL_PORTFOLIO,BUY_NUCLEAR_PORTFOLIO,"Bull market - Nuclear portfolio: BWXT (12.7%), OKLO (72.9%), NLR (14.4%)"
