package,line_rate,branch_rate
.,0.0,0.0
application,100.0,0.0
application.execution,8.9,0.0
application.mapping,81.5,0.0
application.orders,0.0,0.0
application.portfolio,70.5,0.0
application.portfolio.services,0.0,0.0
application.reporting,53.1,0.0
application.tracking,27.6,0.0
application.trading,0.0,0.0
container,0.0,0.0
domain,100.0,0.0
domain.interfaces,100.0,0.0
domain.math,11.6,0.0
domain.models,0.0,0.0
domain.portfolio,100.0,0.0
domain.portfolio.position,0.0,0.0
domain.portfolio.rebalancing,0.0,0.0
domain.portfolio.strategy_attribution,0.0,0.0
domain.registry,61.3,0.0
domain.shared_kernel,100.0,0.0
domain.shared_kernel.value_objects,81.6,0.0
domain.strategies,10.8,0.0
domain.strategies.klm_workers,16.4,0.0
domain.trading.entities,63.6,0.0
domain.trading.value_objects,100.0,0.0
infrastructure.config,75.6,0.0
infrastructure.logging,25.6,0.0
infrastructure.s3,29.0,0.0
interface.cli,17.9,0.0
services,100.0,0.0
services.account,9.9,0.0
services.errors,12.0,0.0
services.market_data,5.0,0.0
services.repository,17.5,0.0
services.shared,0.0,0.0
services.trading,20.4,0.0
utils,100.0,0.0
