Strategy,RSI,Current-Price,Moving-Avg-Price,Exp-Moving-Avg-Price,Moving-Avg-Return,Cumulative-Return,Stdev-Return,Stdev-Price,Max-Drawdown,PPO,PPO-Signal,Filter,Select-Top,Select-Bottom,Weight-Equal,Weight-Specified,If-Else
defence,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
fomo_nomo,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
ftl_starburst,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1
gold,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
gold_and_miners,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
gold_currency,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
growth_blend,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1
interstellar,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1
kmlm_switcher,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
pals_spell,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1
rains_concise_em,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
rains_em_dancer,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1
simons_full_kmlm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
sisyphus_lowvol,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1
soxl_growth,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1
vox_the_best,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
what_have_i_done,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1
ftlt_holy_grail,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
ftlt_tqqq_ftlt,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
ftlt_tqqq_ftlt_1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1
ftlt_tqqq_ftlt_2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
